Kernel Name,Kernel Size,Section,Metric Name,Metric Unit,Value
sgemm_small,1024.0,speed_of_light,SM Frequency,Mhz,306.00
sgemm_small,1024.0,speed_of_light,Elapsed Cycles,cycle,5108589
sgemm_small,1024.0,speed_of_light,Memory Throughput,%,95.39
sgemm_small,1024.0,speed_of_light,Duration,s,0.01669
sgemm_small,1024.0,speed_of_light,L1/TEX Cache Throughput,%,97.53
sgemm_small,1024.0,speed_of_light,L2 Cache Throughput,%,78.73
sgemm_small,1024.0,speed_of_light,SM Active Cycles,cycle,5104443
sgemm_small,1024.0,speed_of_light,Compute (SM) Throughput,%,45.42
sgemm_small,1024.0,launch_statistics,Block Size,,64
sgemm_small,1024.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,1024.0,launch_statistics,Grid Size,,4096
sgemm_small,1024.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,1024.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,1024.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,1024.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,1024.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,1024.0,launch_statistics,# SMs,SM,8
sgemm_small,1024.0,launch_statistics,Threads,thread,262144
sgemm_small,1024.0,launch_statistics,Uses Green Context,,0
sgemm_small,1024.0,launch_statistics,Waves Per SM,,32
sgemm_small,1024.0,occupancy,Block Limit SM,block,16
sgemm_small,1024.0,occupancy,Block Limit Registers,block,16
sgemm_small,1024.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,1024.0,occupancy,Block Limit Warps,block,24
sgemm_small,1024.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,1024.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,1024.0,occupancy,Achieved Occupancy,%,65.78
sgemm_small,1024.0,occupancy,Achieved Active Warps Per SM,warp,31.58
sgemm_small,1024.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,5104443
sgemm_small,1024.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,41749032
sgemm_small,1024.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,5103725.50
sgemm_small,1024.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,20434348
sgemm_small,1024.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,5104443
sgemm_small,1024.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,41749032
sgemm_small,1024.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,5102771.38
sgemm_small,1024.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,166996128
sgemm_small,2048.0,speed_of_light,SM Frequency,Mhz,399.26
sgemm_small,2048.0,speed_of_light,Elapsed Cycles,cycle,40682742
sgemm_small,2048.0,speed_of_light,Memory Throughput,%,97.64
sgemm_small,2048.0,speed_of_light,Duration,s,0.1019
sgemm_small,2048.0,speed_of_light,L1/TEX Cache Throughput,%,97.66
sgemm_small,2048.0,speed_of_light,L2 Cache Throughput,%,81.45
sgemm_small,2048.0,speed_of_light,SM Active Cycles,cycle,40555274.12
sgemm_small,2048.0,speed_of_light,Compute (SM) Throughput,%,46.64
sgemm_small,2048.0,launch_statistics,Block Size,,64
sgemm_small,2048.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,2048.0,launch_statistics,Grid Size,,16384
sgemm_small,2048.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,2048.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,2048.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,2048.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,2048.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,2048.0,launch_statistics,# SMs,SM,8
sgemm_small,2048.0,launch_statistics,Threads,thread,1048576
sgemm_small,2048.0,launch_statistics,Uses Green Context,,0
sgemm_small,2048.0,launch_statistics,Waves Per SM,,128
sgemm_small,2048.0,occupancy,Block Limit SM,block,16
sgemm_small,2048.0,occupancy,Block Limit Registers,block,16
sgemm_small,2048.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,2048.0,occupancy,Block Limit Warps,block,24
sgemm_small,2048.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,2048.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,2048.0,occupancy,Achieved Occupancy,%,66.44
sgemm_small,2048.0,occupancy,Achieved Active Warps Per SM,warp,31.89
sgemm_small,2048.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,40555274.12
sgemm_small,2048.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,324506328
sgemm_small,2048.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,40558146
sgemm_small,2048.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,162730936
sgemm_small,2048.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,40555274.12
sgemm_small,2048.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,324506328
sgemm_small,2048.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,40554093.03
sgemm_small,2048.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,1298025312
sgemm_small,3072.0,speed_of_light,SM Frequency,Mhz,365.39
sgemm_small,3072.0,speed_of_light,Elapsed Cycles,cycle,139399301
sgemm_small,3072.0,speed_of_light,Memory Throughput,%,97.77
sgemm_small,3072.0,speed_of_light,Duration,s,0.38151
sgemm_small,3072.0,speed_of_light,L1/TEX Cache Throughput,%,97.78
sgemm_small,3072.0,speed_of_light,L2 Cache Throughput,%,80.47
sgemm_small,3072.0,speed_of_light,SM Active Cycles,cycle,136462338.50
sgemm_small,3072.0,speed_of_light,Compute (SM) Throughput,%,46.75
sgemm_small,3072.0,launch_statistics,Block Size,,64
sgemm_small,3072.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,3072.0,launch_statistics,Grid Size,,36864
sgemm_small,3072.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,3072.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,3072.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,3072.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,3072.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,3072.0,launch_statistics,# SMs,SM,8
sgemm_small,3072.0,launch_statistics,Threads,thread,2359296
sgemm_small,3072.0,launch_statistics,Uses Green Context,,0
sgemm_small,3072.0,launch_statistics,Waves Per SM,,288
sgemm_small,3072.0,occupancy,Block Limit SM,block,16
sgemm_small,3072.0,occupancy,Block Limit Registers,block,16
sgemm_small,3072.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,3072.0,occupancy,Block Limit Warps,block,24
sgemm_small,3072.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,3072.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,3072.0,occupancy,Achieved Occupancy,%,66.21
sgemm_small,3072.0,occupancy,Achieved Active Warps Per SM,warp,31.78
sgemm_small,3072.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,136462338.50
sgemm_small,3072.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,1091794856
sgemm_small,3072.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,137225727
sgemm_small,3072.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,557597124
sgemm_small,3072.0,gpu_and_memory_workload,Average SM Active Cycles,cycle,136462338.50
sgemm_small,3072.0,gpu_and_memory_workload,Total SM Elapsed Cycles,cycle,1091794856
sgemm_small,3072.0,gpu_and_memory_workload,Average SMSP Active Cycles,cycle,136441018.66
sgemm_small,3072.0,gpu_and_memory_workload,Total SMSP Elapsed Cycles,cycle,4367179424
sgemm_small,4096.0,speed_of_light,SM Frequency,Mhz,408.00
sgemm_small,4096.0,speed_of_light,Elapsed Cycles,cycle,358793616
sgemm_small,4096.0,speed_of_light,Memory Throughput,%,87.04
sgemm_small,4096.0,speed_of_light,Duration,s,0.8794
sgemm_small,4096.0,speed_of_light,L1/TEX Cache Throughput,%,88.31
sgemm_small,4096.0,speed_of_light,L2 Cache Throughput,%,76.28
sgemm_small,4096.0,speed_of_light,SM Active Cycles,cycle,357782284
sgemm_small,4096.0,speed_of_light,Compute (SM) Throughput,%,41.64
sgemm_small,4096.0,launch_statistics,Block Size,,64
sgemm_small,4096.0,launch_statistics,Function Cache Configuration,,CachePreferNone
sgemm_small,4096.0,launch_statistics,Grid Size,,65536
sgemm_small,4096.0,launch_statistics,Registers Per Thread,register/thread,60
sgemm_small,4096.0,launch_statistics,Shared Memory Configuration Size,Kbyte,102.40
sgemm_small,4096.0,launch_statistics,Driver Shared Memory Per Block,Kbyte/block,1.02
sgemm_small,4096.0,launch_statistics,Dynamic Shared Memory Per Block,byte/block,0
sgemm_small,4096.0,launch_statistics,Static Shared Memory Per Block,Kbyte/block,4.10
sgemm_small,4096.0,launch_statistics,# SMs,SM,8
sgemm_small,4096.0,launch_statistics,Threads,thread,4194304
sgemm_small,4096.0,launch_statistics,Uses Green Context,,0
sgemm_small,4096.0,launch_statistics,Waves Per SM,,512
sgemm_small,4096.0,occupancy,Block Limit SM,block,16
sgemm_small,4096.0,occupancy,Block Limit Registers,block,16
sgemm_small,4096.0,occupancy,Block Limit Shared Mem,block,20
sgemm_small,4096.0,occupancy,Block Limit Warps,block,24
sgemm_small,4096.0,occupancy,Theoretical Active Warps per SM,warp,32
sgemm_small,4096.0,occupancy,Theoretical Occupancy,%,66.67
sgemm_small,4096.0,occupancy,Achieved Occupancy,%,66.60
sgemm_small,4096.0,occupancy,Achieved Active Warps Per SM,warp,31.97
sgemm_small,4096.0,gpu_and_memory_workload,Average L1 Active Cycles,cycle,357782284
sgemm_small,4096.0,gpu_and_memory_workload,Total L1 Elapsed Cycles,cycle,2904104560
sgemm_small,4096.0,gpu_and_memory_workload,Average L2 Active Cycles,cycle,356494579.25
sgemm_small,4096.0,gpu_and_memory_workload,Total L2 Elapsed Cycles,cycle,1435174452
